fold,feature,importance
1,log_prc,0.0037437869535378388
1,age,0.037187596834988394
1,mom_7,0.0443476940496539
1,mom_21,0.04994920065703756
1,mom_7_28,0.04506392170123579
1,r2_1,0.27683092330795667
1,r31_2,0.019040276600388747
1,r30_14,0.021965056699374718
1,close_90dh,0.06780698220066458
1,log_vol,0.01722595545605272
1,log_prcvol,0.012325721288449267
1,std_prcvol,0.020408728866880006
1,amihud_illiq,0.06032597897094279
1,volsh_30,0.1049128200220771
1,retvol_7,0.04769463152756211
1,rvol_30,0.024694629647266174
1,beta_30,0.01623566976502112
1,ivol_30,0.04753099857006941
1,capm_alpha_30,0.024358956528945465
1,var_90,0.03574159280628683
1,skew_90,0.0226088775456088
2,log_prc,0.023428223816561355
2,age,0.03411772777792464
2,mom_7,0.05895470733492202
2,mom_21,0.031626854014497184
2,mom_7_28,0.040910184089374
2,r2_1,0.21822993681289513
2,r31_2,0.022956358203994
2,r30_14,0.026281901683756985
2,close_90dh,0.03710621303651826
2,log_vol,0.057045256818411244
2,log_prcvol,0.010032432585094507
2,std_prcvol,0.021638883212615992
2,amihud_illiq,0.03396514214359305
2,volsh_30,0.06894516174078259
2,retvol_7,0.040535973345387284
2,rvol_30,0.028426978449155652
2,beta_30,0.05945818782438286
2,ivol_30,0.05403562954927635
2,capm_alpha_30,0.056526309233586085
2,var_90,0.03483651538158798
2,skew_90,0.04094142294568292
3,log_prc,0.017762630178917615
3,age,0.052073306219202885
3,mom_7,0.08239624490356785
3,mom_21,0.026529130009611365
3,mom_7_28,0.025497174986295716
3,r2_1,0.1927969948184708
3,r31_2,0.020097071086452378
3,r30_14,0.017484848256049776
3,close_90dh,0.03674899878304538
3,log_vol,0.030485216287567334
3,log_prcvol,0.013324358809209978
3,std_prcvol,0.011601046608550209
3,amihud_illiq,0.04127807874147733
3,volsh_30,0.07648621536924576
3,retvol_7,0.030995360813100226
3,rvol_30,0.09241364523754482
3,beta_30,0.0765651798821205
3,ivol_30,0.04799957115188405
3,capm_alpha_30,0.03762042192808429
3,var_90,0.04288217780589359
3,skew_90,0.026962328123708034
