fold,feature,coefficient,abs_coefficient
1,log_prc,-0.07625552874600316,0.07625552874600316
1,age,0.01313404073069703,0.01313404073069703
1,mom_7,0.011975838400186288,0.011975838400186288
1,mom_21,-0.008447236409757291,0.008447236409757291
1,mom_7_28,0.02378059732999177,0.02378059732999177
1,r2_1,-0.022038886398145233,0.022038886398145233
1,r31_2,-0.009697035272847562,0.009697035272847562
1,r30_14,0.0018257851956357558,0.0018257851956357558
1,close_90dh,0.005340458179188962,0.005340458179188962
1,log_vol,-0.08144006963054326,0.08144006963054326
1,log_prcvol,0.002495064460020943,0.002495064460020943
1,std_prcvol,-0.0396854816872864,0.0396854816872864
1,amihud_illiq,-0.061107935325143296,0.061107935325143296
1,volsh_30,-0.022804674851990527,0.022804674851990527
1,retvol_7,0.014764107083963574,0.014764107083963574
1,rvol_30,0.014341970258298866,0.014341970258298866
1,beta_30,0.03151639062118787,0.03151639062118787
1,ivol_30,-0.03396117770890106,0.03396117770890106
1,capm_alpha_30,0.010128083828240375,0.010128083828240375
1,var_90,0.006527779844649383,0.006527779844649383
1,skew_90,-0.007267550436347011,0.007267550436347011
2,log_prc,-0.09487929799347468,0.09487929799347468
2,age,0.012856909967961655,0.012856909967961655
2,mom_7,0.0034615086738231894,0.0034615086738231894
2,mom_21,-0.014432837592239286,0.014432837592239286
2,mom_7_28,0.030004466870310775,0.030004466870310775
2,r2_1,-0.015356737774822696,0.015356737774822696
2,r31_2,-0.02018136975657235,0.02018136975657235
2,r30_14,0.007479366067243049,0.007479366067243049
2,close_90dh,0.0076288728155102965,0.0076288728155102965
2,log_vol,-0.10110781446789105,0.10110781446789105
2,log_prcvol,0.01584668952717679,0.01584668952717679
2,std_prcvol,-0.02468672122231249,0.02468672122231249
2,amihud_illiq,-0.033661935834695456,0.033661935834695456
2,volsh_30,-0.011502970536319776,0.011502970536319776
2,retvol_7,0.01373569053989968,0.01373569053989968
2,rvol_30,-0.006153726809284579,0.006153726809284579
2,beta_30,0.03978714869295288,0.03978714869295288
2,ivol_30,-0.027099352360923385,0.027099352360923385
2,capm_alpha_30,0.006218366701775814,0.006218366701775814
2,var_90,0.00384390850051336,0.00384390850051336
2,skew_90,-0.010128588338145481,0.010128588338145481
3,log_prc,-0.08763048047684997,0.08763048047684997
3,age,0.01391118125876413,0.01391118125876413
3,mom_7,0.0006359652866207658,0.0006359652866207658
3,mom_21,-0.010119053098087336,0.010119053098087336
3,mom_7_28,0.02572718046383401,0.02572718046383401
3,r2_1,-0.02374788569484141,0.02374788569484141
3,r31_2,-0.01680450436254177,0.01680450436254177
3,r30_14,0.0075487728411333995,0.0075487728411333995
3,close_90dh,0.0032830162010671106,0.0032830162010671106
3,log_vol,-0.08898974972006238,0.08898974972006238
3,log_prcvol,0.00848405183812942,0.00848405183812942
3,std_prcvol,-0.011356992695877113,0.011356992695877113
3,amihud_illiq,-0.031959281862517626,0.031959281862517626
3,volsh_30,-0.009281454848192726,0.009281454848192726
3,retvol_7,-0.00040627396833769515,0.00040627396833769515
3,rvol_30,-0.04083025511686447,0.04083025511686447
3,beta_30,0.043317218839228136,0.043317218839228136
3,ivol_30,-0.005544759734420148,0.005544759734420148
3,capm_alpha_30,0.01170119338878112,0.01170119338878112
3,var_90,0.005174875858337827,0.005174875858337827
3,skew_90,-0.0020642581344614665,0.0020642581344614665
