fold,model,headline,mean_rank_ic,positive_ic_rate,hit_rate,n_dates
1,OLS,True,0.06758635475157601,0.6118721461187214,0.5077609820432181,219
1,PLS,True,0.08443919746238333,0.634703196347032,0.517906056609516,219
1,LASSO,True,0.0684617655855655,0.6027397260273972,0.5086740387541848,219
1,Elastic Net,True,0.06847255510841044,0.6118721461187214,0.5084711372628589,219
1,Random Forest,True,0.0588697914222931,0.6118721461187214,0.47996347773156134,219
1,LightGBM,True,0.054116367029546385,0.6164383561643836,0.48513746576037337,219
1,FFNN,True,0.009645053500182828,0.502283105022831,0.5086740387541848,219
1,COMB,True,0.06345943305375468,0.6164383561643836,0.5047174596733286,219
2,OLS,True,0.08277326477346991,0.680365296803653,0.5088459991958183,219
2,PLS,True,0.10887988849541277,0.7397260273972602,0.5223160434258143,219
2,LASSO,True,0.08367012974986629,0.6712328767123288,0.5096501809408926,219
2,Elastic Net,True,0.08306049721195806,0.6757990867579908,0.509449135504624,219
2,Random Forest,True,0.10683181576624003,0.6986301369863014,0.5062324085243265,219
2,LightGBM,True,0.09718929189879112,0.6894977168949772,0.5081423401688782,219
2,FFNN,True,0.060709665951573066,0.6894977168949772,0.5102533172496985,219
2,COMB,True,0.10038230322243027,0.7031963470319634,0.5179935665460395,219
3,OLS,True,0.10196952662755891,0.6545454545454545,0.5241303036396542,220
3,PLS,True,0.11444552989037955,0.6636363636363637,0.5266438769354514,220
3,LASSO,True,0.1031198579511686,0.65,0.5245324753669817,220
3,Elastic Net,True,0.10246962639818549,0.6454545454545455,0.5250351900261412,220
3,Random Forest,True,0.12382731264818127,0.6454545454545455,0.5160868690931028,220
3,LightGBM,True,0.11991641764154586,0.6545454545454545,0.5232254172531671,220
3,FFNN,True,0.05741014179181613,0.5909090909090909,0.513975467524633,220
3,COMB,True,0.11195825336693872,0.6636363636363637,0.5254373617534688,220
