date,n_names,leg_n,long_ret,short_ret,long_short_ret
2024-03-14 00:00:00+00:00,46,9,-0.08069007510443112,-0.009984690919942177,-0.07070538418448893
2024-03-15 00:00:00+00:00,46,9,-0.119148476638745,-0.09281239541564207,-0.026336081223102936
2024-03-16 00:00:00+00:00,46,9,0.09543053241071559,0.03198915547533353,0.06344137693538206
2024-03-17 00:00:00+00:00,45,9,-0.07874108916839452,-0.06462562081067404,-0.014115468357720484
2024-03-18 00:00:00+00:00,45,9,-0.08831932316658256,-0.05774086168275658,-0.03057846148382598
2024-03-19 00:00:00+00:00,45,9,0.14208712905342513,0.11901078729623928,0.023076341757185856
2024-03-20 00:00:00+00:00,44,9,-0.027254754397605038,0.007470289098415406,-0.034725043496020444
2024-03-21 00:00:00+00:00,43,9,-0.01876813933178192,-0.025982497635396458,0.007214358303614537
2024-03-22 00:00:00+00:00,43,9,0.01858137303925436,0.006934024166195374,0.011647348873058985
2024-03-23 00:00:00+00:00,43,9,0.04891907084323593,0.049444077432428415,-0.0005250065891924879
2024-03-24 00:00:00+00:00,44,9,0.038539416296078474,0.04987605335677024,-0.011336637060691768
2024-03-25 00:00:00+00:00,44,9,0.013023600043032539,-0.0018590997964068354,0.014882699839439375
2024-03-26 00:00:00+00:00,44,9,-0.01074185990080339,-0.023139905755772714,0.012398045854969324
2024-03-27 00:00:00+00:00,44,9,0.03780105174965883,0.021958759269379388,0.015842292480279442
2024-03-28 00:00:00+00:00,44,9,-0.01886699698820815,-0.00998267801540103,-0.008884318972807122
2024-03-29 00:00:00+00:00,45,9,-0.004375631229075151,-0.005820379854118096,0.0014447486250429454
2024-03-30 00:00:00+00:00,44,9,0.03799912869779202,0.017516513948730057,0.02048261474906196
2024-03-31 00:00:00+00:00,44,9,-0.04886302151824205,-0.039418887844491324,-0.00944413367375073
2024-04-01 00:00:00+00:00,45,9,-0.08418422942359449,-0.07961375784916142,-0.004570471574433077
2024-04-02 00:00:00+00:00,45,9,-0.022542195148838165,-0.01905221456473865,-0.0034899805840995154
2024-04-03 00:00:00+00:00,46,9,0.018367410722103867,0.036466122107248866,-0.018098711385145
2024-04-04 00:00:00+00:00,45,9,-0.010192030109642487,-0.024463673957632073,0.014271643847989585
2024-04-05 00:00:00+00:00,45,9,0.0006678399232823059,0.03185046955950985,-0.031182629636227543
2024-04-06 00:00:00+00:00,45,9,0.02416979117493671,0.026568079444767207,-0.0023982882698304966
2024-04-07 00:00:00+00:00,44,9,0.035725612528781876,0.04006388787675021,-0.00433827534796833
2024-04-08 00:00:00+00:00,45,9,-0.05142778053393826,-0.06809290133292654,0.016665120798988284
2024-04-09 00:00:00+00:00,45,9,0.01977855254886893,0.021489780561583446,-0.0017112280127145156
2024-04-10 00:00:00+00:00,45,9,-0.03050281955577261,-0.026026576041274934,-0.004476243514497675
2024-04-11 00:00:00+00:00,45,9,-0.0837958143011964,-0.16934487076840388,0.08554905646720748
2024-04-12 00:00:00+00:00,45,9,-0.09851175891252406,-0.10827979110333995,0.009768032190815887
2024-04-13 00:00:00+00:00,45,9,0.08517212986863,0.0917913651571979,-0.006619235288567893
2024-04-14 00:00:00+00:00,45,9,-0.04680709150415875,-0.04743235052906403,0.0006252590249052753
2024-04-15 00:00:00+00:00,44,9,-0.012428827796096553,0.023046457817379226,-0.03547528561347578
2024-04-16 00:00:00+00:00,44,9,-0.030842753539631854,-0.04374958124039289,0.012906827700761035
2024-04-17 00:00:00+00:00,43,9,0.019913419892997577,0.033386669149521785,-0.013473249256524208
2024-04-18 00:00:00+00:00,43,9,0.006532853384362035,0.028403294572538516,-0.02187044118817648
2024-04-19 00:00:00+00:00,43,9,0.055835305031787213,0.09788079258642762,-0.04204548755464041
2024-04-20 00:00:00+00:00,43,9,-0.024015538467876334,0.002714489607894604,-0.026730028075770938
2024-04-21 00:00:00+00:00,43,9,0.03605433895886004,0.03640812540204573,-0.0003537864431856913
2024-04-22 00:00:00+00:00,43,9,-0.017088847173260844,-0.01300162459328396,-0.004087222579976884
2024-04-23 00:00:00+00:00,43,9,-0.024238934993972585,-0.04962525063856235,0.025386315644589767
2024-04-24 00:00:00+00:00,44,9,-0.005465315118853299,-0.01448734302162876,0.00902202790277546
2024-04-25 00:00:00+00:00,44,9,-0.018693698933483088,-0.03239411865640862,0.013700419722925534
2024-04-26 00:00:00+00:00,44,9,0.0003877827630317397,0.01602658635126443,-0.01563880358823269
2024-04-27 00:00:00+00:00,44,9,-0.014638854408164863,-0.009432589790224136,-0.005206264617940727
2024-04-28 00:00:00+00:00,44,9,-0.013253378007852559,-0.01759565814839449,0.004342280140541933
2024-04-29 00:00:00+00:00,44,9,-0.08047326720304883,-0.05240097372827211,-0.028072293474776716
2024-04-30 00:00:00+00:00,44,9,0.011284465636838813,0.009241950805718657,0.002042514831120156
2024-05-01 00:00:00+00:00,44,9,0.022852387870537155,0.007070359945701648,0.015782027924835507
2024-05-02 00:00:00+00:00,43,9,0.05538413327446106,0.06999415077673894,-0.014610017502277882
2024-05-03 00:00:00+00:00,42,8,0.017989000884672743,0.024436975578735295,-0.006447974694062553
2024-05-04 00:00:00+00:00,42,8,0.011206203921369506,0.003868713864752682,0.007337490056616824
2024-05-05 00:00:00+00:00,42,8,-0.018653682704083532,-0.021949478675709316,0.003295795971625784
2024-05-06 00:00:00+00:00,43,9,-0.024347421323809897,-0.02989267960519262,0.0055452582813827235
2024-05-07 00:00:00+00:00,43,9,-0.00859755317020134,-0.01907235108491967,0.01047479791471833
2024-05-08 00:00:00+00:00,42,8,0.03578589860587977,0.02676935835585878,0.009016540250020993
2024-05-09 00:00:00+00:00,41,8,-0.03587829142770542,-0.03165457302213835,-0.004223718405567067
2024-05-10 00:00:00+00:00,41,8,-0.003501957606398126,-0.013142014540441019,0.009640056934042893
2024-05-11 00:00:00+00:00,41,8,0.014218951814761863,-0.004111819358954383,0.018330771173716245
2024-05-12 00:00:00+00:00,41,8,0.006893791253941253,0.008391583911295714,-0.0014977926573544603
2024-05-13 00:00:00+00:00,41,8,-0.006891385769693045,-0.04908995742702947,0.042198571657336426
2024-05-14 00:00:00+00:00,41,8,0.0719764387258363,0.08322240614082499,-0.011245967414988692
2024-05-15 00:00:00+00:00,41,8,-0.011264237855711276,-0.02147981361055462,0.010215575754843345
2024-05-16 00:00:00+00:00,41,8,0.031844353178552276,0.038646097857207656,-0.00680174467865538
2024-05-17 00:00:00+00:00,41,8,-0.0048419330838116725,0.010254683185236882,-0.015096616269048554
2024-05-18 00:00:00+00:00,41,8,-0.022008836569496634,-0.04289344319068654,0.020884606621189905
2024-05-19 00:00:00+00:00,41,8,0.05319466379558144,0.11248396894791027,-0.05928930515232883
2024-05-20 00:00:00+00:00,42,8,0.02869179465675667,0.0030746116242585386,0.02561718303249813
2024-05-21 00:00:00+00:00,42,8,0.011476548640932768,-0.01564958542985556,0.02712613407078833
2024-05-22 00:00:00+00:00,42,8,0.030818519185796228,-0.01362130074754346,0.04443981993333969
2024-05-23 00:00:00+00:00,42,8,0.0020856412168847177,-0.012266448394312734,0.014352089611197452
2024-05-24 00:00:00+00:00,43,9,0.007743852911261068,0.013025598038595512,-0.005281745127334443
2024-05-25 00:00:00+00:00,43,9,0.0029727886297567447,-0.022852672923837872,0.025825461553594616
2024-05-26 00:00:00+00:00,43,9,0.05181520900445207,0.03743912662572657,0.0143760823787255
2024-05-27 00:00:00+00:00,43,9,0.010377253689721224,-0.026283342011209125,0.036660595700930346
2024-05-28 00:00:00+00:00,42,8,-0.055341917662808965,-0.0035291954686557936,-0.05181272219415317
2024-05-29 00:00:00+00:00,42,8,-0.019639608008498705,0.02008384731246768,-0.03972345532096638
2024-05-30 00:00:00+00:00,42,8,0.011444128484959348,-0.00830276381117985,0.0197468922961392
2024-05-31 00:00:00+00:00,42,8,0.04339612925814673,0.005728599680062146,0.037667529578084585
2024-06-01 00:00:00+00:00,42,8,-0.0144823268368907,-0.015617279211641993,0.001134952374751294
2024-06-02 00:00:00+00:00,42,8,0.005842538284192511,0.011653767206926721,-0.00581122892273421
2024-06-03 00:00:00+00:00,42,8,0.0568615122852649,0.015496857118613566,0.04136465516665133
2024-06-04 00:00:00+00:00,42,8,0.018193723755315527,0.006569166210087393,0.011624557545228134
2024-06-05 00:00:00+00:00,43,9,-0.0144824370959273,-0.022706511254213906,0.008224074158286606
2024-06-06 00:00:00+00:00,43,9,-0.05567929436920354,-0.06100195855385266,0.00532266418464912
2024-06-07 00:00:00+00:00,43,9,-0.019778036252178936,-0.03426445517339175,0.014486418921212815
2024-06-08 00:00:00+00:00,43,9,0.005347212972531675,0.012183751896081094,-0.00683653892354942
2024-06-09 00:00:00+00:00,43,9,-0.012890677820710024,-0.025701978671166685,0.012811300850456661
2024-06-10 00:00:00+00:00,43,9,-0.06254095423891373,-0.055469685283358494,-0.007071268955555238
2024-06-11 00:00:00+00:00,44,9,0.02250677944878802,0.07000624588834417,-0.047499466439556146
2024-06-12 00:00:00+00:00,43,9,-0.05064944864556591,-0.06839376964838856,0.017744321002822645
2024-06-13 00:00:00+00:00,43,9,-0.008005063269521625,-0.030089866627282563,0.02208480335776094
2024-06-14 00:00:00+00:00,44,9,0.009086595417303698,0.01647760228338862,-0.007391006866084921
