model,headline,mean_rank_ic,ic_std,ic_ir,hac_t_stat,hac_p_value,positive_ic_rate,hit_rate,permutation_null_mean_ic,n_ic_dates,oos_start,oos_end
PLS,True,0.10260622553288883,0.2361262905252116,0.43453960719352164,12.153593218269966,5.489865675336282e-34,0.6793313069908815,0.5223017713690297,-4.722554447249844e-05,658,2024-03-14,2025-12-31
Random Forest,True,0.09655115616548424,0.24622249762317433,0.39212970828217647,10.590874530395581,3.2850827563221655e-26,0.6519756838905775,0.5008235017310343,-0.002541181936474105,658,2024-03-14,2025-12-31
COMB,True,0.09196376289545748,0.2253084721801086,0.40816824154727244,11.616356807489964,3.403422107775277e-31,0.6610942249240122,0.5160834929918322,0.005251159191954668,658,2024-03-14,2025-12-31
LightGBM,True,0.09045220545052585,0.23966693621003704,0.3774079432102232,9.52848478399131,1.5959553919904358e-21,0.6534954407294833,0.5055628382239252,-0.0005805204027635472,658,2024-03-14,2025-12-31
LASSO,True,0.0851113280056484,0.21231379181938967,0.400875172904691,11.610892143885877,3.6281025053020126e-31,0.6413373860182371,0.514302040267554,0.009311685310400393,658,2024-03-14,2025-12-31
Elastic Net,True,0.0846946143856558,0.2120173677971311,0.39947017202239715,11.561191124369135,6.480359262604167e-31,0.6443768996960486,0.5143356525831064,0.0028996232057720696,658,2024-03-14,2025-12-31
OLS,True,0.08413685795448027,0.2111718429373135,0.3984283926501335,11.574479281365724,5.55072519281227e-31,0.648936170212766,0.5135961816409532,-0.005378447000674078,658,2024-03-14,2025-12-31
FFNN,True,0.042610812696252415,0.20003236255512244,0.2130195941894665,5.890310943829958,3.854696289608027e-09,0.5942249240121581,0.5109744210278646,0.005434510073476417,658,2024-03-14,2025-12-31
