fold,model,headline,mean_rank_ic,positive_ic_rate,hit_rate,n_dates
1,OLS,True,0.09008504250067284,0.6661184210526315,0.5157224133819371,608
1,PLS,True,0.08191317658312446,0.6398026315789473,0.5140190099819439,608
1,LASSO,True,0.08991031678865237,0.6644736842105263,0.5157905495179368,608
1,Elastic Net,True,0.08997367622395547,0.6644736842105263,0.5159268217899363,608
1,Random Forest,True,0.08039107947289759,0.65625,0.500766531529997,608
1,LightGBM,True,0.06780969398677247,0.6200657894736842,0.49909719619800363,608
1,FFNN,True,-0.027525638198735575,0.46381578947368424,0.5026062072019896,608
1,COMB,True,0.06184731686639625,0.6118421052631579,0.5143937587299424,608
2,OLS,True,0.09064039501420047,0.6842105263157895,0.5170605559945406,608
2,PLS,True,0.09712522264467609,0.6776315789473685,0.5190359887939084,608
2,LASSO,True,0.09109355628118222,0.694078947368421,0.5170964729545291,608
2,Elastic Net,True,0.09106084738833368,0.6957236842105263,0.5169528051145751,608
2,Random Forest,True,0.08664052997756988,0.6578947368421053,0.4960491344012643,608
2,LightGBM,True,0.08533584645296056,0.662828947368421,0.5007901731197472,608
2,FFNN,True,0.049291359835227755,0.6052631578947368,0.5036635299188277,608
2,COMB,True,0.09627624369358158,0.6759868421052632,0.5117089289562532,608
3,OLS,True,0.09413831966526262,0.6578947368421053,0.5186044850735609,608
3,PLS,True,0.10246547185404059,0.6546052631578947,0.5234966433366662,608
3,LASSO,True,0.09472894325840625,0.6595394736842105,0.5182116840451364,608
3,Elastic Net,True,0.0943508748310239,0.6546052631578947,0.5179260105699186,608
3,Random Forest,True,0.1058340494395197,0.6578947368421053,0.5152835309241537,608
3,LightGBM,True,0.10305200343136697,0.6529605263157895,0.5129624339380089,608
3,FFNN,True,0.06105602132339081,0.625,0.5087487501785459,608
3,COMB,True,0.10387109938832646,0.662828947368421,0.5185687758891587,608
