fold,train_start,train_end,test_start,test_end,n_train_rows,n_test_rows,n_train_dates,n_test_dates,embargo_days
1,2018-04-01,2021-07-24,2021-07-30,2023-03-29,37798,29353,1211,608,5
2,2018-04-01,2023-03-24,2023-03-30,2024-11-26,67141,27842,1819,608,5
3,2018-04-01,2024-11-21,2024-11-27,2026-07-27,95001,28004,2427,608,5
