date,model,rank_ic
2021-07-30 00:00:00+00:00,OLS,-0.19648284845853234
2021-07-31 00:00:00+00:00,OLS,0.3068823273990447
2021-08-01 00:00:00+00:00,OLS,0.035931393834129396
2021-08-02 00:00:00+00:00,OLS,0.3882978723404255
2021-08-03 00:00:00+00:00,OLS,-0.01572617946345976
2021-08-04 00:00:00+00:00,OLS,0.2785615171137836
2021-08-05 00:00:00+00:00,OLS,0.24849676225716932
2021-08-06 00:00:00+00:00,OLS,-0.05319148936170213
2021-08-07 00:00:00+00:00,OLS,0.09007863089731731
2021-08-08 00:00:00+00:00,OLS,0.05775510204081632
2021-08-09 00:00:00+00:00,OLS,-0.11759903961584633
2021-08-10 00:00:00+00:00,OLS,0.20211284513805522
2021-08-11 00:00:00+00:00,OLS,-0.16667466986794718
2021-08-12 00:00:00+00:00,OLS,0.41070828331332526
2021-08-13 00:00:00+00:00,OLS,0.15178871548619446
2021-08-14 00:00:00+00:00,OLS,-0.09983193277310923
2021-08-15 00:00:00+00:00,OLS,-0.030588235294117645
2021-08-16 00:00:00+00:00,OLS,-0.023865546218487393
2021-08-17 00:00:00+00:00,OLS,0.15466986794717885
2021-08-18 00:00:00+00:00,OLS,0.06141656662665066
2021-08-19 00:00:00+00:00,OLS,0.44086434573829525
2021-08-20 00:00:00+00:00,OLS,-0.07495798319327732
2021-08-21 00:00:00+00:00,OLS,0.44893157262905165
2021-08-22 00:00:00+00:00,OLS,-0.026530612244897955
2021-08-23 00:00:00+00:00,OLS,0.1947959183673469
2021-08-24 00:00:00+00:00,OLS,-0.1146938775510204
2021-08-25 00:00:00+00:00,OLS,0.2457142857142857
2021-08-26 00:00:00+00:00,OLS,0.17418367346938776
2021-08-27 00:00:00+00:00,OLS,-0.27867346938775506
2021-08-28 00:00:00+00:00,OLS,0.15387755102040815
2021-08-29 00:00:00+00:00,OLS,0.423469387755102
2021-08-30 00:00:00+00:00,OLS,0.2514285714285714
2021-08-31 00:00:00+00:00,OLS,0.037551020408163265
2021-09-01 00:00:00+00:00,OLS,0.12877551020408162
2021-09-02 00:00:00+00:00,OLS,0.14551020408163265
2021-09-03 00:00:00+00:00,OLS,0.022959183673469385
2021-09-04 00:00:00+00:00,OLS,0.42795918367346936
2021-09-05 00:00:00+00:00,OLS,0.2862244897959183
2021-09-06 00:00:00+00:00,OLS,0.16418367346938773
2021-09-07 00:00:00+00:00,OLS,-0.27724489795918367
2021-09-08 00:00:00+00:00,OLS,0.08612244897959181
2021-09-09 00:00:00+00:00,OLS,0.25086843247937474
2021-09-10 00:00:00+00:00,OLS,0.30666521927920104
2021-09-11 00:00:00+00:00,OLS,0.29819800260529744
2021-09-12 00:00:00+00:00,OLS,0.3739687364307425
2021-09-13 00:00:00+00:00,OLS,0.28962223187147196
2021-09-14 00:00:00+00:00,OLS,-0.3323925314806774
2021-09-15 00:00:00+00:00,OLS,0.18767345050878817
2021-09-16 00:00:00+00:00,OLS,0.024398704902867715
2021-09-17 00:00:00+00:00,OLS,0.09678538390379278
2021-09-18 00:00:00+00:00,OLS,0.08961609620721554
2021-09-19 00:00:00+00:00,OLS,0.2417900092506938
2021-09-20 00:00:00+00:00,OLS,-0.2835337650323774
2021-09-21 00:00:00+00:00,OLS,-0.2408649398704903
2021-09-22 00:00:00+00:00,OLS,-0.43617021276595747
2021-09-23 00:00:00+00:00,OLS,0.06961147086031452
2021-09-24 00:00:00+00:00,OLS,0.14303885291396856
2021-09-25 00:00:00+00:00,OLS,0.22502312673450509
2021-09-26 00:00:00+00:00,OLS,0.1349444958371878
2021-09-27 00:00:00+00:00,OLS,0.21473172987974098
2021-09-28 00:00:00+00:00,OLS,-0.05319148936170213
2021-09-29 00:00:00+00:00,OLS,0.05272895467160037
2021-09-30 00:00:00+00:00,OLS,-0.22282608695652173
2021-10-01 00:00:00+00:00,OLS,0.2666512488436633
2021-10-02 00:00:00+00:00,OLS,0.10175763182238669
2021-10-03 00:00:00+00:00,OLS,0.0008017267961763798
2021-10-04 00:00:00+00:00,OLS,0.25092506938020354
2021-10-05 00:00:00+00:00,OLS,0.23381128584643845
2021-10-06 00:00:00+00:00,OLS,-0.016188714153561518
2021-10-07 00:00:00+00:00,OLS,-0.12025901942645699
2021-10-08 00:00:00+00:00,OLS,0.3181082331174838
2021-10-09 00:00:00+00:00,OLS,0.052975639839654635
2021-10-10 00:00:00+00:00,OLS,0.48899167437557817
2021-10-11 00:00:00+00:00,OLS,-0.08183780450200431
2021-10-12 00:00:00+00:00,OLS,0.39882824545174217
2021-10-13 00:00:00+00:00,OLS,-0.01515151515151515
2021-10-14 00:00:00+00:00,OLS,0.25559947299077734
2021-10-15 00:00:00+00:00,OLS,0.05396238051187172
2021-10-16 00:00:00+00:00,OLS,0.356845513413506
2021-10-17 00:00:00+00:00,OLS,0.056544865864939876
2021-10-18 00:00:00+00:00,OLS,0.07747456059204441
2021-10-19 00:00:00+00:00,OLS,0.2083872957138452
2021-10-20 00:00:00+00:00,OLS,-0.14930619796484737
2021-10-21 00:00:00+00:00,OLS,-0.13367252543940797
2021-10-22 00:00:00+00:00,OLS,0.2582099907493062
2021-10-23 00:00:00+00:00,OLS,0.1108926919518964
2021-10-24 00:00:00+00:00,OLS,-0.1675531914893617
2021-10-25 00:00:00+00:00,OLS,-0.24560592044403332
2021-10-26 00:00:00+00:00,OLS,0.4838112858464385
2021-10-27 00:00:00+00:00,OLS,-0.019648284845853233
2021-10-28 00:00:00+00:00,OLS,0.322405557967868
2021-10-29 00:00:00+00:00,OLS,-0.05492835432045158
2021-10-30 00:00:00+00:00,OLS,0.14372557533651759
2021-10-31 00:00:00+00:00,OLS,0.13601823708206687
2021-11-01 00:00:00+00:00,OLS,0.007056013894919669
2021-11-02 00:00:00+00:00,OLS,0.07837603126356926
2021-11-03 00:00:00+00:00,OLS,0.3810247503256622
2021-11-04 00:00:00+00:00,OLS,0.0930308293530178
2021-11-05 00:00:00+00:00,OLS,0.16608771168041686
2021-11-06 00:00:00+00:00,OLS,0.2549934867564047
2021-11-07 00:00:00+00:00,OLS,0.38004776378636557
2021-11-08 00:00:00+00:00,OLS,-0.04287885366912723
2021-11-09 00:00:00+00:00,OLS,0.07522796352583586
2021-11-10 00:00:00+00:00,OLS,-0.03072079895788102
2021-11-11 00:00:00+00:00,OLS,-0.4738384715588363
2021-11-12 00:00:00+00:00,OLS,0.3108163265306122
2021-11-13 00:00:00+00:00,OLS,-0.0770408163265306
2021-11-14 00:00:00+00:00,OLS,-0.20510204081632652
2021-11-15 00:00:00+00:00,OLS,-0.28306122448979587
2021-11-16 00:00:00+00:00,OLS,-0.15483348751156337
2021-11-17 00:00:00+00:00,OLS,-0.21091581868640147
2021-11-18 00:00:00+00:00,OLS,0.32897779833487517
2021-11-19 00:00:00+00:00,OLS,0.21172525439407958
2021-11-20 00:00:00+00:00,OLS,-0.01156336725254394
2021-11-21 00:00:00+00:00,OLS,-0.09455058619192358
2021-11-22 00:00:00+00:00,OLS,0.2852800694745984
2021-11-23 00:00:00+00:00,OLS,-0.13363004776378637
2021-11-24 00:00:00+00:00,OLS,0.08260963960052106
2021-11-25 00:00:00+00:00,OLS,0.04646113764654798
2021-11-26 00:00:00+00:00,OLS,-0.10714285714285714
2021-11-27 00:00:00+00:00,OLS,0.3010204081632653
2021-11-28 00:00:00+00:00,OLS,0.23067737733391228
2021-11-29 00:00:00+00:00,OLS,0.2505427702996092
2021-11-30 00:00:00+00:00,OLS,0.1998480243161094
2021-12-01 00:00:00+00:00,OLS,0.20733825445071646
2021-12-02 00:00:00+00:00,OLS,0.506079027355623
2021-12-03 00:00:00+00:00,OLS,0.16033434650455924
2021-12-04 00:00:00+00:00,OLS,0.062418584455058615
2021-12-05 00:00:00+00:00,OLS,-0.13395570994355188
2021-12-06 00:00:00+00:00,OLS,0.09031697785497177
2021-12-07 00:00:00+00:00,OLS,0.09574468085106383
2021-12-08 00:00:00+00:00,OLS,0.2304081632653061
2021-12-09 00:00:00+00:00,OLS,-0.07142857142857141
2021-12-10 00:00:00+00:00,OLS,0.08792878853669127
2021-12-11 00:00:00+00:00,OLS,-0.05937907077724707
2021-12-12 00:00:00+00:00,OLS,0.4462244897959183
2021-12-13 00:00:00+00:00,OLS,0.18581632653061225
2021-12-14 00:00:00+00:00,OLS,0.05061224489795918
2021-12-15 00:00:00+00:00,OLS,0.16183673469387755
2021-12-16 00:00:00+00:00,OLS,0.04571428571428571
2021-12-17 00:00:00+00:00,OLS,0.1133673469387755
2021-12-18 00:00:00+00:00,OLS,0.2948979591836734
2021-12-19 00:00:00+00:00,OLS,0.29387755102040813
2021-12-20 00:00:00+00:00,OLS,-0.2586734693877551
2021-12-21 00:00:00+00:00,OLS,-0.16459183673469385
2021-12-22 00:00:00+00:00,OLS,-0.4423469387755102
2021-12-23 00:00:00+00:00,OLS,0.04448979591836734
2021-12-24 00:00:00+00:00,OLS,-0.15653061224489792
2021-12-25 00:00:00+00:00,OLS,-0.10867346938775509
2021-12-26 00:00:00+00:00,OLS,0.22826530612244894
2021-12-27 00:00:00+00:00,OLS,0.17653061224489794
2021-12-28 00:00:00+00:00,OLS,0.03653061224489795
2021-12-29 00:00:00+00:00,OLS,-0.15459183673469387
2021-12-30 00:00:00+00:00,OLS,0.15918367346938775
2021-12-31 00:00:00+00:00,OLS,-0.11030612244897958
2022-01-01 00:00:00+00:00,OLS,0.20061224489795915
2022-01-02 00:00:00+00:00,OLS,0.14663265306122447
2022-01-03 00:00:00+00:00,OLS,0.07193877551020408
2022-01-04 00:00:00+00:00,OLS,0.2729591836734694
2022-01-05 00:00:00+00:00,OLS,0.09035944797450376
2022-01-06 00:00:00+00:00,OLS,0.195
2022-01-07 00:00:00+00:00,OLS,0.06530612244897958
2022-01-08 00:00:00+00:00,OLS,-0.25693877551020405
2022-01-09 00:00:00+00:00,OLS,0.28020408163265303
2022-01-10 00:00:00+00:00,OLS,0.03448979591836734
2022-01-11 00:00:00+00:00,OLS,-0.25061224489795914
2022-01-12 00:00:00+00:00,OLS,-0.05428571428571428
2022-01-13 00:00:00+00:00,OLS,0.1280612244897959
2022-01-14 00:00:00+00:00,OLS,0.024795918367346938
2022-01-15 00:00:00+00:00,OLS,0.26163265306122446
2022-01-16 00:00:00+00:00,OLS,0.12931572629051621
2022-01-17 00:00:00+00:00,OLS,0.32129651860744296
2022-01-18 00:00:00+00:00,OLS,0.09819927971188475
2022-01-19 00:00:00+00:00,OLS,-0.011956782713085232
2022-01-20 00:00:00+00:00,OLS,0.28412965186074424
2022-01-21 00:00:00+00:00,OLS,0.13440576230492196
2022-01-22 00:00:00+00:00,OLS,0.05051020408163265
2022-01-23 00:00:00+00:00,OLS,0.34146458583433376
2022-01-24 00:00:00+00:00,OLS,-0.047202881152460976
2022-01-25 00:00:00+00:00,OLS,-0.1262424969987995
2022-01-26 00:00:00+00:00,OLS,0.09560853804767915
2022-01-27 00:00:00+00:00,OLS,-0.13820259794134637
2022-01-28 00:00:00+00:00,OLS,-0.1408403361344538
2022-01-29 00:00:00+00:00,OLS,0.009939975990396158
2022-01-30 00:00:00+00:00,OLS,-0.22693877551020405
2022-01-31 00:00:00+00:00,OLS,0.004693877551020408
2022-02-01 00:00:00+00:00,OLS,0.35673469387755097
2022-02-02 00:00:00+00:00,OLS,0.06642857142857142
2022-02-03 00:00:00+00:00,OLS,0.141734693877551
2022-02-04 00:00:00+00:00,OLS,-0.11153061224489795
2022-02-05 00:00:00+00:00,OLS,-0.40020408163265303
2022-02-06 00:00:00+00:00,OLS,-0.033265306122448976
2022-02-07 00:00:00+00:00,OLS,0.3039795918367347
2022-02-08 00:00:00+00:00,OLS,0.17459183673469383
2022-02-09 00:00:00+00:00,OLS,0.22520408163265304
2022-02-10 00:00:00+00:00,OLS,0.2840859748154581
2022-02-11 00:00:00+00:00,OLS,0.05319148936170213
2022-02-12 00:00:00+00:00,OLS,0.5065132435953105
2022-02-13 00:00:00+00:00,OLS,-0.31567520625271384
2022-02-14 00:00:00+00:00,OLS,-0.4848024316109423
2022-02-15 00:00:00+00:00,OLS,0.14470256187581415
2022-02-16 00:00:00+00:00,OLS,0.5011940946591402
2022-02-17 00:00:00+00:00,OLS,0.26387755102040816
2022-02-18 00:00:00+00:00,OLS,0.303469387755102
2022-02-19 00:00:00+00:00,OLS,0.28530612244897957
2022-02-20 00:00:00+00:00,OLS,0.43795918367346937
2022-02-21 00:00:00+00:00,OLS,-0.12142857142857141
2022-02-22 00:00:00+00:00,OLS,0.3280503690838037
2022-02-23 00:00:00+00:00,OLS,0.3227312201476335
2022-02-24 00:00:00+00:00,OLS,-0.46403792784458836
2022-02-25 00:00:00+00:00,OLS,0.06857076780758557
2022-02-26 00:00:00+00:00,OLS,0.4183163737280296
2022-02-27 00:00:00+00:00,OLS,-0.03385753931544866
2022-02-28 00:00:00+00:00,OLS,-0.03089731729879741
2022-03-01 00:00:00+00:00,OLS,0.2596978106691335
2022-03-02 00:00:00+00:00,OLS,0.41177921677459145
2022-03-03 00:00:00+00:00,OLS,-0.13672525439407954
2022-03-04 00:00:00+00:00,OLS,-0.19370952821461607
2022-03-05 00:00:00+00:00,OLS,0.28880666049953746
2022-03-06 00:00:00+00:00,OLS,0.25219703977798336
2022-03-07 00:00:00+00:00,OLS,0.0463691026827012
2022-03-08 00:00:00+00:00,OLS,-0.2962534690101758
2022-03-09 00:00:00+00:00,OLS,0.1491828553808202
2022-03-10 00:00:00+00:00,OLS,0.4686401480111008
2022-03-11 00:00:00+00:00,OLS,-0.19185938945420905
2022-03-12 00:00:00+00:00,OLS,0.22318840579710145
2022-03-13 00:00:00+00:00,OLS,0.02608695652173913
2022-03-14 00:00:00+00:00,OLS,-0.05279225387196542
2022-03-15 00:00:00+00:00,OLS,-0.23527597903176073
2022-03-16 00:00:00+00:00,OLS,0.10305272895467159
2022-03-17 00:00:00+00:00,OLS,-0.17459142769041008
2022-03-18 00:00:00+00:00,OLS,0.02164729101525685
2022-03-19 00:00:00+00:00,OLS,0.5352451433857539
2022-03-20 00:00:00+00:00,OLS,0.008078939253777367
2022-03-21 00:00:00+00:00,OLS,0.17557816836262718
2022-03-22 00:00:00+00:00,OLS,-0.2809127351218008
2022-03-23 00:00:00+00:00,OLS,0.020814061054579093
2022-03-24 00:00:00+00:00,OLS,0.03850601295097132
2022-03-25 00:00:00+00:00,OLS,0.45941258094357074
2022-03-26 00:00:00+00:00,OLS,0.05434782608695653
2022-03-27 00:00:00+00:00,OLS,-0.054579093432007404
2022-03-28 00:00:00+00:00,OLS,-0.12223187147199306
2022-03-29 00:00:00+00:00,OLS,-0.0407077724706904
2022-03-30 00:00:00+00:00,OLS,0.10881128584643848
2022-03-31 00:00:00+00:00,OLS,0.1496299722479186
2022-04-01 00:00:00+00:00,OLS,0.2470690403821103
2022-04-02 00:00:00+00:00,OLS,0.0457012592270951
2022-04-03 00:00:00+00:00,OLS,0.07967160037002775
2022-04-04 00:00:00+00:00,OLS,0.04417206290471786
2022-04-05 00:00:00+00:00,OLS,0.10372340425531915
2022-04-06 00:00:00+00:00,OLS,0.08314061054579094
2022-04-07 00:00:00+00:00,OLS,0.41026827012025896
2022-04-08 00:00:00+00:00,OLS,-0.001911810052420598
2022-04-09 00:00:00+00:00,OLS,0.3966080789392538
2022-04-10 00:00:00+00:00,OLS,0.3175300647548566
2022-04-11 00:00:00+00:00,OLS,-0.04353017802865827
2022-04-12 00:00:00+00:00,OLS,0.008325624421831638
2022-04-13 00:00:00+00:00,OLS,0.011332099907493063
2022-04-14 00:00:00+00:00,OLS,0.2951584889274859
2022-04-15 00:00:00+00:00,OLS,-0.06220147633521493
2022-04-16 00:00:00+00:00,OLS,0.21137835337650326
2022-04-17 00:00:00+00:00,OLS,0.0906567992599445
2022-04-18 00:00:00+00:00,OLS,-0.12419056429232192
2022-04-19 00:00:00+00:00,OLS,0.08984736355226641
2022-04-20 00:00:00+00:00,OLS,0.2738205365402405
2022-04-21 00:00:00+00:00,OLS,0.1525208140610546
2022-04-22 00:00:00+00:00,OLS,0.02197039777983349
2022-04-23 00:00:00+00:00,OLS,0.17819148936170215
2022-04-24 00:00:00+00:00,OLS,0.24803422756706753
2022-04-25 00:00:00+00:00,OLS,0.30989824236817765
2022-04-26 00:00:00+00:00,OLS,-0.043478260869565216
2022-04-27 00:00:00+00:00,OLS,0.4591367698718352
