model,IC,n_days,mean_daily_ret,ann_return,ann_vol,sharpe_ratio,max_drawdown,cum_return,win_rate
OLS,0.0841280326776447,658,0.0031114574104044,2.1078115541626947,0.535880667604374,2.1192814435247938,-0.3051031379373607,4.958229144856199,0.5759878419452887
PLS,0.102610515743157,658,0.0030615612220872,2.051895058403892,0.579803348139083,1.927325617639915,-0.4220361013273637,4.491700296029825,0.5790273556231003
LASSO,0.0851027627851045,658,0.0030419531918022,2.030196812426333,0.5379867359669062,2.0638295347789604,-0.3406141702390883,4.680741972032699,0.5790273556231003
Elastic Net,0.0847040636068278,658,0.0031125001288593,2.108990917371824,0.5386678839136592,2.109022239788369,-0.3106619941938088,4.946199320096403,0.5775075987841946
Random Forest,0.096557964259631,658,0.0022248737596711,1.2505550472327744,0.5596095782411611,1.4511526497318414,-0.3723213603887869,2.2494119568687045,0.5714285714285714
LightGBM (HGB),0.083370354968913,658,0.0021516143001921,1.1913012730264665,0.5635965760378975,1.3934421409922302,-0.4973336050270328,2.073838521071745,0.5668693009118541
FFNN,0.0430168258347646,658,0.0012959862935879,0.6043661208618696,0.4889489102113062,0.9674528100598212,-0.4305305244252493,0.8866717674758589,0.5455927051671733
COMB,0.0912878246489132,658,0.0029805818733191,1.9632726786018624,0.5468161030944092,1.98953976959536,-0.4088635482689179,4.398671837759402,0.5927051671732523
