date,model,n_names,leg_n,gross_return,long_contribution,short_contribution,gross_exposure,net_exposure,max_abs_weight,turnover_half_l1,traded_notional,cost_bps_one_way,transaction_cost,net_return
2026-01-01 00:00:00+00:00,COMB,46,9,-0.0632254563498025,0.020151515318641247,-0.08337697166844374,2.0000000000000004,5.551115123125783e-17,0.1111111111111111,1.0000000000000002,2.0000000000000004,10.0,0.0020000000000000005,-0.06522545634980251
2026-01-02 00:00:00+00:00,COMB,47,9,-0.01499383426518741,0.017196827967641524,-0.03219066223282893,2.0000000000000004,5.551115123125783e-17,0.1111111111111111,0.44444444444444453,0.8888888888888891,10.0,0.0008888888888888891,-0.015882723154076298
2026-01-03 00:00:00+00:00,COMB,47,9,-0.08962922494988884,0.011474059237616708,-0.10110328418750554,2.0000000000000004,5.551115123125783e-17,0.1111111111111111,0.44444444444444453,0.8888888888888891,10.0,0.0008888888888888891,-0.09051811383877773
2026-01-04 00:00:00+00:00,COMB,48,10,-0.005950477796185382,0.01664711012171386,-0.022597587917899245,2.0000000000000004,2.7755575615628914e-17,0.1,0.7,1.4,10.0,0.0014,-0.007350477796185383
2026-01-05 00:00:00+00:00,COMB,48,10,-0.06338996168646122,0.007094871780687895,-0.07048483346714912,2.0000000000000004,2.7755575615628914e-17,0.1,0.39999999999999997,0.7999999999999999,10.0,0.0007999999999999999,-0.06418996168646121
2026-01-06 00:00:00+00:00,COMB,48,10,0.08745756392683222,-0.02499280239804372,0.11245036632487596,2.0000000000000004,2.7755575615628914e-17,0.1,0.49999999999999994,0.9999999999999999,10.0,0.0009999999999999998,0.08645756392683222
2026-01-07 00:00:00+00:00,COMB,48,10,-0.025849926292332313,-0.02048977610848458,-0.005360150183847733,2.0000000000000004,2.7755575615628914e-17,0.1,0.8000000000000002,1.6000000000000003,10.0,0.0016000000000000003,-0.027449926292332314
2026-01-08 00:00:00+00:00,COMB,48,10,0.0035459448351916837,-0.002204259931102348,0.005750204766294032,2.0000000000000004,2.7755575615628914e-17,0.1,0.8000000000000002,1.6000000000000003,10.0,0.0016000000000000003,0.0019459448351916834
2026-01-09 00:00:00+00:00,COMB,48,10,0.01850397816233376,0.0005742552150940551,0.017929722947239702,2.0000000000000004,2.7755575615628914e-17,0.1,0.39999999999999997,0.7999999999999999,10.0,0.0007999999999999999,0.01770397816233376
2026-01-10 00:00:00+00:00,COMB,48,10,-0.02191153781841624,-0.00969749835110768,-0.012214039467308558,2.0000000000000004,2.7755575615628914e-17,0.1,0.6,1.2,10.0,0.0012,-0.02311153781841624
2026-01-11 00:00:00+00:00,COMB,48,10,0.023828768689623577,-0.009152164375112161,0.03298093306473574,2.0000000000000004,2.7755575615628914e-17,0.1,0.7000000000000001,1.4000000000000001,10.0,0.0014000000000000002,0.022428768689623575
2026-01-12 00:00:00+00:00,COMB,48,10,-0.03699062259128783,0.06617701180846389,-0.10316763439975173,2.0000000000000004,2.7755575615628914e-17,0.1,0.3,0.6,10.0,0.0006,-0.037590622591287835
2026-01-13 00:00:00+00:00,COMB,48,10,-0.0678722620114472,-0.007406672365874167,-0.06046558964557302,2.0000000000000004,2.7755575615628914e-17,0.1,0.49999999999999994,0.9999999999999999,10.0,0.0009999999999999998,-0.0688722620114472
2026-01-14 00:00:00+00:00,COMB,48,10,-0.022962236822995495,-0.032892671679879,0.009930434856883497,2.0000000000000004,2.7755575615628914e-17,0.1,0.49999999999999994,0.9999999999999999,10.0,0.0009999999999999998,-0.023962236822995496
2026-01-15 00:00:00+00:00,COMB,49,10,-0.021382648325702337,0.0030575050231020037,-0.02444015334880434,2.0000000000000004,2.7755575615628914e-17,0.1,0.49999999999999994,0.9999999999999999,10.0,0.0009999999999999998,-0.022382648325702338
2026-01-16 00:00:00+00:00,COMB,49,10,0.0478360690880609,0.005065384160967235,0.04277068492709367,2.0000000000000004,2.7755575615628914e-17,0.1,0.49999999999999994,0.9999999999999999,10.0,0.0009999999999999998,0.0468360690880609
2026-01-17 00:00:00+00:00,COMB,49,10,0.0006290231396765076,-0.03049366153217365,0.03112268467185016,2.0000000000000004,2.7755575615628914e-17,0.1,0.6,1.2,10.0,0.0012,-0.0005709768603234923
2026-01-18 00:00:00+00:00,COMB,49,10,0.019894179868440085,-0.01756402062967071,0.03745820049811079,2.0000000000000004,2.7755575615628914e-17,0.1,0.39999999999999997,0.7999999999999999,10.0,0.0007999999999999999,0.019094179868440087
2026-01-19 00:00:00+00:00,COMB,49,10,-0.014946614424248553,-0.052081768106646414,0.03713515368239786,2.0000000000000004,2.7755575615628914e-17,0.1,0.9000000000000002,1.8000000000000005,10.0,0.0018000000000000004,-0.016746614424248553
2026-01-20 00:00:00+00:00,COMB,49,10,-0.01398595504810654,0.022479801457955247,-0.03646575650606179,2.0000000000000004,2.7755575615628914e-17,0.1,0.6,1.2,10.0,0.0012,-0.015185955048106539
2026-01-21 00:00:00+00:00,COMB,49,10,0.0055444274807417305,-0.013924580184449909,0.01946900766519164,2.0000000000000004,2.7755575615628914e-17,0.1,1.0000000000000002,2.0000000000000004,10.0,0.0020000000000000005,0.00354442748074173
2026-01-22 00:00:00+00:00,COMB,49,10,-0.004520786134014865,0.006958542442807835,-0.011479328576822701,2.0000000000000004,2.7755575615628914e-17,0.1,0.7000000000000001,1.4000000000000001,10.0,0.0014000000000000002,-0.005920786134014865
2026-01-23 00:00:00+00:00,COMB,50,10,0.013572199197656565,-0.003160143206905664,0.01673234240456223,2.0000000000000004,2.7755575615628914e-17,0.1,0.7000000000000001,1.4000000000000001,10.0,0.0014000000000000002,0.012172199197656565
2026-01-24 00:00:00+00:00,COMB,50,10,0.031042672077624386,-0.04226948977477175,0.07331216185239614,2.0000000000000004,2.7755575615628914e-17,0.1,0.6,1.2,10.0,0.0012,0.029842672077624387
2026-01-25 00:00:00+00:00,COMB,50,10,-0.007355752709762849,0.03211961650416306,-0.03947536921392591,2.0000000000000004,2.7755575615628914e-17,0.1,0.8000000000000002,1.6000000000000003,10.0,0.0016000000000000003,-0.00895575270976285
2026-01-26 00:00:00+00:00,COMB,50,10,-0.03741446141233967,0.02097419499446586,-0.05838865640680553,2.0000000000000004,2.7755575615628914e-17,0.1,0.39999999999999997,0.7999999999999999,10.0,0.0007999999999999999,-0.038214461412339674
2026-01-27 00:00:00+00:00,COMB,50,10,0.03300864314839886,-0.003423773629776028,0.03643241677817489,2.0000000000000004,2.7755575615628914e-17,0.1,0.49999999999999994,0.9999999999999999,10.0,0.0009999999999999998,0.03200864314839886
2026-01-28 00:00:00+00:00,COMB,50,10,0.036669925647593,-0.050105075524181975,0.08677500117177496,2.0000000000000004,2.7755575615628914e-17,0.1,0.6,1.2,10.0,0.0012,0.035469925647593
2026-01-29 00:00:00+00:00,COMB,50,10,-0.050887764424740356,-0.023921168516333805,-0.026966595908406547,2.0000000000000004,2.7755575615628914e-17,0.1,0.6,1.2,10.0,0.0012,-0.052087764424740356
2026-01-30 00:00:00+00:00,COMB,50,10,0.03275155454182627,-0.0781540412017518,0.11090559574357807,2.0000000000000004,2.7755575615628914e-17,0.1,0.49999999999999994,0.9999999999999999,10.0,0.0009999999999999998,0.031751554541826266
2026-01-31 00:00:00+00:00,COMB,50,10,0.046796563325916515,-0.019680786307247965,0.06647734963316448,2.0000000000000004,2.7755575615628914e-17,0.1,0.8000000000000002,1.6000000000000003,10.0,0.0016000000000000003,0.04519656332591652
2026-02-01 00:00:00+00:00,COMB,50,10,-0.0020664775030956495,0.030633759930367897,-0.03270023743346354,2.0000000000000004,2.7755575615628914e-17,0.1,1.2000000000000004,2.400000000000001,10.0,0.0024000000000000007,-0.00446647750309565
2026-02-02 00:00:00+00:00,COMB,50,10,-0.015316501930913426,-0.03100335698641755,0.015686855055504125,2.0000000000000004,2.7755575615628914e-17,0.1,0.8000000000000002,1.6000000000000003,10.0,0.0016000000000000003,-0.016916501930913427
2026-02-03 00:00:00+00:00,COMB,50,10,-0.02283985538041088,-0.03599305645717271,0.013153201076761835,2.0000000000000004,2.7755575615628914e-17,0.1,0.49999999999999994,0.9999999999999999,10.0,0.0009999999999999998,-0.02383985538041088
2026-02-04 00:00:00+00:00,COMB,50,10,-0.008085589021588725,-0.15190089297312234,0.14381530395153358,2.0000000000000004,2.7755575615628914e-17,0.1,0.7000000000000001,1.4000000000000001,10.0,0.0014000000000000002,-0.009485589021588725
2026-02-05 00:00:00+00:00,COMB,49,10,0.024825382220656184,0.11993512576718122,-0.09510974354652502,2.0000000000000004,2.7755575615628914e-17,0.1,0.39999999999999997,0.7999999999999999,10.0,0.0007999999999999999,0.024025382220656186
2026-02-06 00:00:00+00:00,COMB,47,9,0.0072262704916198715,0.00031437090755666785,0.006911899584063204,2.0000000000000004,5.551115123125783e-17,0.1111111111111111,0.6999999999999998,1.3999999999999997,10.0,0.0013999999999999996,0.005826270491619872
2026-02-07 00:00:00+00:00,COMB,47,9,-0.04620408537799811,-0.0023511203826258598,-0.04385296499537225,2.0000000000000004,5.551115123125783e-17,0.1111111111111111,0.5555555555555557,1.1111111111111114,10.0,0.0011111111111111113,-0.04731519648910922
2026-02-08 00:00:00+00:00,COMB,47,9,0.018485283898691886,-0.0010695247583780462,0.019554808657069933,2.0000000000000004,5.551115123125783e-17,0.1111111111111111,0.5555555555555557,1.1111111111111114,10.0,0.0011111111111111113,0.017374172787580775
2026-02-09 00:00:00+00:00,COMB,47,9,-0.0051417335732320355,-0.02238186649858177,0.017240132925349733,2.0000000000000004,5.551115123125783e-17,0.1111111111111111,0.44444444444444453,0.8888888888888891,10.0,0.0008888888888888891,-0.006030622462120924
2026-02-10 00:00:00+00:00,COMB,47,9,-0.030151792854207125,-0.01980197582054192,-0.010349817033665209,2.0000000000000004,5.551115123125783e-17,0.1111111111111111,0.5555555555555557,1.1111111111111114,10.0,0.0011111111111111113,-0.03126290396531824
