model,cost_bps_one_way,avg_daily_turnover_half_l1,avg_daily_traded_notional,annualized_traded_notional,total_transaction_cost,avg_daily_transaction_cost,avg_gross_exposure,avg_net_exposure,avg_long_contribution,avg_short_contribution,return_basis,n_days,mean_daily_ret,ann_return,ann_vol,sharpe,max_drawdown,cum_return,win_rate,drawdown_duration_days
OLS,10.0,0.5615918803418803,1.1231837606837607,409.96207264957263,0.23362222222222223,0.0011231837606837608,2.0000000000000004,4.2834325829888854e-17,-0.0019959712102456703,0.00498809787528918,gross,208,0.0029921266650435106,1.4037762305675106,0.6533030839335654,1.6716991846497085,-0.2604141972790639,0.6483803300011775,0.5673076923076923,90
OLS,10.0,0.5615918803418803,1.1231837606837607,409.96207264957263,0.23362222222222223,0.0011231837606837608,2.0000000000000004,4.2834325829888854e-17,-0.0019959712102456703,0.00498809787528918,net,208,0.0018689429043597492,0.5955911532244058,0.6538609463016738,1.0432862888504375,-0.28068453239739466,0.3050811763849153,0.5625,131
PLS,10.0,0.6145299145299146,1.2290598290598291,448.60683760683764,0.25564444444444445,0.001229059829059829,2.0000000000000004,4.2834325829888854e-17,-0.002331149506746483,0.0051431179918357,gross,208,0.002811968485089219,1.279972661481282,0.6338793593973201,1.6191858621700754,-0.25746260417008715,0.5994507174605621,0.6105769230769231,77
PLS,10.0,0.6145299145299146,1.2290598290598291,448.60683760683764,0.25564444444444445,0.001229059829059829,2.0000000000000004,4.2834325829888854e-17,-0.002331149506746483,0.0051431179918357,net,208,0.00158290865602939,0.45649112398673375,0.6338949186681369,0.9114470591823801,-0.2672107252574173,0.2389765859257409,0.5865384615384616,93
LASSO,10.0,0.5605769230769232,1.1211538461538464,409.2211538461539,0.23320000000000002,0.0011211538461538462,2.0000000000000004,4.2834325829888854e-17,-0.0019692895611178904,0.005317244985169421,gross,208,0.0033479554240515314,1.7527430113876568,0.6448340425808525,1.8950670235831848,-0.26038645068941035,0.7807632698945757,0.5769230769230769,89
LASSO,10.0,0.5605769230769232,1.1211538461538464,409.2211538461539,0.23320000000000002,0.0011211538461538462,2.0000000000000004,4.2834325829888854e-17,-0.0019692895611178904,0.005317244985169421,net,208,0.0022268015778976855,0.8286790825025405,0.6455601114703763,1.2590346917212718,-0.2695514365457854,0.4105304440981852,0.5673076923076923,128
Elastic Net,10.0,0.5568376068376069,1.1136752136752137,406.491452991453,0.23164444444444446,0.0011136752136752138,2.0000000000000004,4.2834325829888854e-17,-0.0019504085569346187,0.005078375058945019,gross,208,0.0031279665020104005,1.527331674319412,0.652176323192975,1.7506121161285575,-0.2604141972790639,0.6961424273964159,0.5769230769230769,90
Elastic Net,10.0,0.5568376068376069,1.1136752136752137,406.491452991453,0.23164444444444446,0.0011136752136752138,2.0000000000000004,4.2834325829888854e-17,-0.0019504085569346187,0.005078375058945019,net,208,0.0020142912883351865,0.6834944856778717,0.652765601470708,1.1263098401414997,-0.26928285066133784,0.345580485465383,0.5673076923076923,130
Random Forest,10.0,0.5282585470085471,1.0565170940170943,385.62873931623943,0.2197555555555556,0.0010565170940170941,2.0000000000000004,4.2834325829888854e-17,-0.0017922381582390927,0.005342387405118767,gross,208,0.003550149246879675,1.94085976182923,0.6565377467723947,1.9736937921412525,-0.2796074557918452,0.8491246373784769,0.6057692307692307,83
Random Forest,10.0,0.5282585470085471,1.0565170940170943,385.62873931623943,0.2197555555555556,0.0010565170940170941,2.0000000000000004,4.2834325829888854e-17,-0.0017922381582390927,0.005342387405118767,net,208,0.00249363215286258,1.0020468880784792,0.6559751784153688,1.387515512391097,-0.30723443613325063,0.48524815481107075,0.6009615384615384,93
LightGBM,10.0,0.5838675213675214,1.1677350427350428,426.22329059829065,0.2428888888888889,0.0011677350427350428,2.0000000000000004,4.2834325829888854e-17,-0.001542157655014924,0.005232240822565847,gross,208,0.003690083167550923,2.0362913997736807,0.6836860228605988,1.9700276312811371,-0.28964187771703265,0.8830839931728398,0.5769230769230769,90
LightGBM,10.0,0.5838675213675214,1.1677350427350428,426.22329059829065,0.2428888888888889,0.0011677350427350428,2.0000000000000004,4.2834325829888854e-17,-0.001542157655014924,0.005232240822565847,net,208,0.00252234812481588,0.9840670227595438,0.6837907473445511,1.3464017597972733,-0.33864385464422053,0.4776322184672275,0.5673076923076923,168
FFNN,10.0,0.91116452991453,1.82232905982906,665.1501068376069,0.3790444444444445,0.0018223290598290602,2.0000000000000004,4.2834325829888854e-17,-0.00128430128238897,0.003438589896556454,gross,208,0.002154288614167484,0.9303874773824725,0.506972862095831,1.5510008581534243,-0.266536827208923,0.4547160512078483,0.5336538461538461,147
FFNN,10.0,0.91116452991453,1.82232905982906,665.1501068376069,0.3790444444444445,0.0018223290598290602,2.0000000000000004,4.2834325829888854e-17,-0.00128430128238897,0.003438589896556454,net,208,0.00033195955433842423,-0.007256606131455068,0.5074037838426073,0.2387945088149152,-0.421020392063278,-0.004141747646975502,0.5048076923076923,180
COMB,10.0,0.576923076923077,1.153846153846154,421.1538461538462,0.24000000000000005,0.0011538461538461542,2.0000000000000004,4.2834325829888854e-17,-0.001954015855133388,0.004943392730931024,gross,208,0.0029893768757976347,1.4197879779091194,0.6427625371648078,1.6975515786576818,-0.2605998048513485,0.6546284871666326,0.5913461538461539,87
COMB,10.0,0.576923076923077,1.153846153846154,421.1538461538462,0.24000000000000005,0.0011538461538461542,2.0000000000000004,4.2834325829888854e-17,-0.001954015855133388,0.004943392730931024,net,208,0.0018355307219514807,0.5891490050687114,0.6425386550947788,1.0426901295354214,-0.27164131611392617,0.30207582843714875,0.5721153846153846,93
