fold,feature,importance
1,log_prc,0.021780593348729563
1,age,0.06635631694636458
1,mom_7,0.05036050708232569
1,mom_21,0.0238460240995508
1,mom_7_28,0.019297185198757116
1,r2_1,0.14468124426374712
1,r31_2,0.032211494145401295
1,r30_14,0.013737918858273693
1,close_90dh,0.03896991245566292
1,log_vol,0.030051495364526948
1,log_prcvol,0.029249246593011823
1,std_prcvol,0.02683103531803046
1,amihud_illiq,0.02948583649758596
1,volsh_30,0.07565917266645908
1,retvol_7,0.04177998795672178
1,rvol_30,0.13722699320408988
1,beta_30,0.07788765250867943
1,ivol_30,0.0559330908893078
1,capm_alpha_30,0.02279211214532733
1,var_90,0.052725879489349245
1,skew_90,0.00913630096809749
