date,n_names,leg_n,long_ret,short_ret,long_short_ret
2026-01-01 00:00:00+00:00,46,9,0.04356692874452577,0.07045806768092658,-0.026891138936400806
2026-01-02 00:00:00+00:00,47,9,0.012632477769704577,0.028364989109978842,-0.015732511340274265
2026-01-03 00:00:00+00:00,47,9,0.02095853009802875,0.06287740019259877,-0.041918870094570015
2026-01-04 00:00:00+00:00,48,10,0.018278908666308824,0.02894100283781379,-0.010662094171504967
2026-01-05 00:00:00+00:00,48,10,0.0144663699606981,0.0007983558557038362,0.013668014104994264
2026-01-06 00:00:00+00:00,48,10,-0.038861372502698485,-0.09242667631904178,0.05356530381634329
2026-01-07 00:00:00+00:00,48,10,-0.030659599200283393,-0.014498174690770204,-0.01616142450951319
2026-01-08 00:00:00+00:00,48,10,-0.0003820001929858097,-0.014356489256794868,0.013974489063809058
2026-01-09 00:00:00+00:00,48,10,-0.0030591732333351664,-0.006795649589986952,0.0037364763566517852
2026-01-10 00:00:00+00:00,48,10,-0.007920324367542132,0.005627937746842249,-0.01354826211438438
2026-01-11 00:00:00+00:00,48,10,0.001147881368389525,-0.032551534498126825,0.03369941586651635
2026-01-12 00:00:00+00:00,48,10,0.056169800562528224,0.07259900338285391,-0.016429202820325686
2026-01-13 00:00:00+00:00,48,10,0.028282790595619355,-0.015916677223714225,0.04419946781933358
2026-01-14 00:00:00+00:00,48,10,-0.02771102157255203,-0.032725376237260205,0.005014354664708176
2026-01-15 00:00:00+00:00,49,10,0.006737246434964849,0.01564765358508957,-0.008910407150124722
2026-01-16 00:00:00+00:00,49,10,-0.001808353066740509,-0.003455211349172571,0.0016468582824320623
2026-01-17 00:00:00+00:00,49,10,-0.0424695087664748,-0.050304144293615405,0.007834635527140602
2026-01-18 00:00:00+00:00,49,10,-0.022196771033642215,-0.0347067510165444,0.012509979982902184
2026-01-19 00:00:00+00:00,49,10,-0.05066849602771963,-0.06020867440530732,0.009540178377587687
2026-01-20 00:00:00+00:00,49,10,0.021803309860569907,0.031439381633392285,-0.009636071772822379
2026-01-21 00:00:00+00:00,49,10,-0.014525350971856721,0.005161610152728735,-0.019686961124585456
