model,headline,mean_rank_ic,ic_std,ic_ir,hac_t_stat,hac_p_value,positive_ic_rate,hit_rate,permutation_null_mean_ic,n_ic_dates,oos_start,oos_end
Random Forest,True,0.10918389087587496,0.22890770499281077,0.47697778840299004,8.145149831936516,3.7881254753370524e-16,0.6875,0.5198095045090688,-0.02097708593654897,208,2026-01-01,2026-07-27
COMB,True,0.10275951533149132,0.21984814948413425,0.46741132719385087,8.135428259991347,4.1048465752544556e-16,0.6634615384615384,0.5173776471780323,0.0064868127395859565,208,2026-01-01,2026-07-27
LightGBM,True,0.10223588633503182,0.22667916582610137,0.4510158044849294,7.194226099192363,6.281602920397767e-13,0.6586538461538461,0.5158577363461344,-0.003656208110733962,208,2026-01-01,2026-07-27
LASSO,True,0.10024187558748134,0.20737744208026224,0.48337887950553593,8.536476106538013,1.3837727990811031e-17,0.6826923076923077,0.519404194953896,0.013572149753976078,208,2026-01-01,2026-07-27
Elastic Net,True,0.10002421951396998,0.20695934741807065,0.483303705591586,8.525006030006978,1.528018580166103e-17,0.6730769230769231,0.5202148140642415,-0.007323212518991649,208,2026-01-01,2026-07-27
PLS,True,0.09985131620468285,0.21926819171830203,0.4553844103980376,8.041314979284788,8.88794688854644e-16,0.6730769230769231,0.5255851656702807,-0.004619939461659438,208,2026-01-01,2026-07-27
OLS,True,0.0998156776928818,0.20613124422220597,0.4842336156729457,8.532841404399791,1.4279638323816326e-17,0.6682692307692307,0.5207214510082075,-0.019256184641616273,208,2026-01-01,2026-07-27
FFNN,True,0.05856698242788153,0.18647331949066978,0.31407700891393175,5.71263791522464,1.1123819916598133e-08,0.6346153846153846,0.5189988853987233,0.01706104466645708,208,2026-01-01,2026-07-27
