fold,model,headline,mean_rank_ic,positive_ic_rate,hit_rate,n_dates
1,OLS,True,0.0998156776928818,0.6682692307692307,0.5207214510082075,208
1,PLS,True,0.09985131620468285,0.6730769230769231,0.5255851656702807,208
1,LASSO,True,0.10024187558748134,0.6826923076923077,0.519404194953896,208
1,Elastic Net,True,0.10002421951396998,0.6730769230769231,0.5202148140642415,208
1,Random Forest,True,0.10918389087587496,0.6875,0.5198095045090688,208
1,LightGBM,True,0.10223588633503182,0.6586538461538461,0.5158577363461344,208
1,FFNN,True,0.05856698242788153,0.6346153846153846,0.5189988853987233,208
1,COMB,True,0.10275951533149132,0.6634615384615384,0.5173776471780323,208
