model,n_residual_rows,n_dates,residual_mean,residual_std,residual_skew,residual_excess_kurtosis,durbin_watson_daily_mean,ljung_box_pvalue_lag1,ljung_box_pvalue_lag5,ljung_box_pvalue_lag10,breusch_pagan_stat,breusch_pagan_pvalue,white_stat,white_pvalue,jarque_bera_stat,jarque_bera_pvalue,jarque_bera_skew,jarque_bera_kurtosis,interpretation
OLS,29751,658,0.002324990135902372,0.9681261981166686,0.7895040874008192,2.9605016961219874,1.8472857981042643,0.509145199865441,0.1495079094799316,0.1674558617843312,1540.784739384294,0.0,1691.7031540353946,0.0,13950.053343647814,0.0,0.7894642812525502,5.959802505833761,Potential misspecification: residual variance depends on fitted level; non-normal residual distribution.
PLS,29751,658,0.0021656656686565696,0.9678896226975175,0.7931175992995904,2.981846743247349,1.8640290052882122,0.5349531625962238,0.17044021086326436,0.19698046791884746,1743.8778687801962,0.0,1915.8567207540432,0.0,14135.577423679226,0.0,0.7930776109610164,5.9811439658456305,Potential misspecification: residual variance depends on fitted level; non-normal residual distribution.
LASSO,29751,658,0.0023169581612594308,0.9681059857560974,0.7897835900501857,2.9616535379659776,1.8482352645085802,0.5112264012357728,0.1510258121220553,0.16961688760354912,1577.72103711725,0.0,1729.5619058537852,0.0,13960.694422864495,0.0,0.7897437698096225,5.9609541541065045,Potential misspecification: residual variance depends on fitted level; non-normal residual distribution.
Elastic Net,29751,658,0.002320639876600175,0.9681153466647775,0.7896583473327846,2.9611193828984934,1.8478008976277305,0.5102776930731621,0.15033314704659353,0.1686302885628987,1560.2851119479167,0.0,1711.684290872183,0.0,13955.793472293892,0.0,0.7896185334068564,5.960420088805739,Potential misspecification: residual variance depends on fitted level; non-normal residual distribution.
Random Forest,29751,658,0.0016464261769910883,0.968320246878811,0.8012236730711327,2.998963466965032,1.8565860125534572,0.2060734242520729,0.000590673126875918,0.00019063438741995668,2249.2543102326845,0.0,2249.864135045036,0.0,14326.505392754843,0.0,0.8011832760309705,5.998257813035083,Potential misspecification: serial dependence in daily mean residuals; residual variance depends on fitted level; non-normal residual distribution.
LightGBM,29751,658,0.0005830093712445422,0.9683320561679178,0.7974170429364956,3.0003259222037384,1.8696528259466412,0.11223140476430458,2.1902861403847415e-08,1.9454692859923616e-08,1496.9789580896488,0.0,1501.3099942887102,0.0,14306.46212622417,0.0,0.7973768378235013,5.999620039308186,Potential misspecification: serial dependence in daily mean residuals; residual variance depends on fitted level; non-normal residual distribution.
FFNN,29751,658,0.10874809054339209,1.0003018175809837,0.7075231919055829,2.6240302254832386,0.021245711089680097,2.6478772147674566e-141,0.0,0.0,262.733529386091,4.351948590519916e-59,263.3686704978745,6.459811544670754e-58,11013.221159177856,0.0,0.7074875191667963,5.623387580460315,Potential misspecification: serial dependence in daily mean residuals; residual variance depends on fitted level; non-normal residual distribution.
COMB,29751,658,0.01715796856200661,0.9680957802079004,0.7892489852790241,2.974661638984621,0.18607651639584813,9.857237797268413e-112,0.0,0.0,1492.1032752309907,0.0,1551.7213788530337,0.0,14052.194487097922,0.0,0.7892091919927947,5.973960069066038,Potential misspecification: serial dependence in daily mean residuals; residual variance depends on fitted level; non-normal residual distribution.
