date,model,mean_residual,median_residual,rmse,mae,n_names
2024-03-14 00:00:00+00:00,OLS,-0.003354164489205354,-0.17450840556724206,0.9372559057562749,0.5985374590430754,46
2024-03-15 00:00:00+00:00,OLS,0.005812312977722797,-0.08892016659646913,0.9752461131017468,0.7019727492177925,46
2024-03-16 00:00:00+00:00,OLS,0.005812312977722794,-0.34064709057994774,0.9922913179920246,0.8041896875712626,46
2024-03-17 00:00:00+00:00,OLS,0.006002187819251962,-0.0024347978478789847,0.9523293600640731,0.7511573589385457,45
2024-03-18 00:00:00+00:00,OLS,0.006002187819251855,-0.307711572311574,1.002374420751323,0.7762617852931393,45
2024-03-19 00:00:00+00:00,OLS,0.006002187819251849,-0.3103269557743021,0.9948589847728525,0.6971344896824415,45
2024-03-20 00:00:00+00:00,OLS,0.006200693335396231,-0.1296150323645387,0.9716440445495482,0.7528193053132497,44
2024-03-21 00:00:00+00:00,OLS,0.006408431666244827,-0.36141199000959495,1.0073824944924221,0.7577608563949586,43
2024-03-22 00:00:00+00:00,OLS,0.005663805485314853,-0.26653430566030684,0.9933179602145423,0.6906148291899676,43
2024-03-23 00:00:00+00:00,OLS,0.006408431666244888,-0.11124196233979514,0.9757073950901749,0.7327353668176033,43
2024-03-24 00:00:00+00:00,OLS,0.0014870947324704398,-0.11324791525759922,0.974198771841776,0.5977996132987415,44
2024-03-25 00:00:00+00:00,OLS,0.006200693335396195,-0.1229609324891455,0.9901408547742079,0.7876803864253769,44
2024-03-26 00:00:00+00:00,OLS,0.006200693335396229,-0.28176391533917033,0.982521267409309,0.6826920661225725,44
2024-03-27 00:00:00+00:00,OLS,0.0062006933353962014,-0.12043913053510788,0.9765638542157549,0.6932684798184313,44
2024-03-28 00:00:00+00:00,OLS,0.006200693335396201,-0.2411970086002768,0.9623363932415648,0.71727771069482,44
2024-03-29 00:00:00+00:00,OLS,-0.0034289829494176804,-0.13982818358159516,0.9564212870856346,0.6454093739944644,45
2024-03-30 00:00:00+00:00,OLS,0.00620069333539612,-0.181444615193953,0.9960378705712609,0.7149304120258929,44
2024-03-31 00:00:00+00:00,OLS,0.005581830404489157,-0.0871482281707725,0.9806114349501613,0.5978711774218058,44
2024-04-01 00:00:00+00:00,OLS,0.006002187819251977,-0.24650461776799507,0.9873272534707498,0.6800006038748228,45
2024-04-02 00:00:00+00:00,OLS,-0.007732816655948385,-0.004368911129102582,0.9271104914639093,0.5896605273020886,45
2024-04-03 00:00:00+00:00,OLS,0.005812312977722638,-0.0666545322242918,0.9572222296322132,0.6131298248450875,46
2024-04-04 00:00:00+00:00,OLS,-0.008011157757744039,-0.10196470988708475,0.9201129300401673,0.6087348215490741,45
2024-04-05 00:00:00+00:00,OLS,0.01630842241088972,-0.056259114036851895,0.9191559999337555,0.46867164914673665,45
2024-04-06 00:00:00+00:00,OLS,0.0060021878192519276,-0.09588025105988901,1.0135787065416388,0.7821573199516403,45
2024-04-07 00:00:00+00:00,OLS,0.006200693335396157,0.05760293783576581,1.0101003117217657,0.8157442138360446,44
2024-04-08 00:00:00+00:00,OLS,0.006002187819252059,-0.2051538762983234,0.9780183366379288,0.7435638562639847,45
2024-04-09 00:00:00+00:00,OLS,-0.007841257822159994,-0.21965137372157906,0.9258079222017489,0.6460933470152842,45
2024-04-10 00:00:00+00:00,OLS,0.0060021878192519475,0.012110212766571616,0.9658022101610423,0.7050326342800054,45
2024-04-11 00:00:00+00:00,OLS,0.006002187819252021,0.01402033307580576,0.9770916574561701,0.7661250254075949,45
2024-04-12 00:00:00+00:00,OLS,0.004437765910353149,-0.0820210431379616,0.9808030473086283,0.6530314917128728,45
2024-04-13 00:00:00+00:00,OLS,0.006002187819251856,0.028203638034024363,1.0046530881840976,0.828523393137124,45
2024-04-14 00:00:00+00:00,OLS,0.006002187819252222,0.14536629440706822,0.9704355504167664,0.8365165516615676,45
2024-04-15 00:00:00+00:00,OLS,0.0027133956716475,-0.1680241367638392,0.9858156589220604,0.6725319128229356,44
2024-04-16 00:00:00+00:00,OLS,0.006200693335396184,-0.11946036239666555,0.9701654685477259,0.7096725654887425,44
2024-04-17 00:00:00+00:00,OLS,0.006408431666244996,-0.11964205140333345,0.9893095199538207,0.6498095532708665,43
2024-04-18 00:00:00+00:00,OLS,0.006408431666244828,-0.3211592333391761,0.9992517155321469,0.7181955996045137,43
2024-04-19 00:00:00+00:00,OLS,0.002280867917219335,-0.15120994483386957,0.9801466433240853,0.7105424558856428,43
2024-04-20 00:00:00+00:00,OLS,0.0064084316662449195,-0.07304311784628818,0.9858604685763432,0.6921921190103031,43
2024-04-21 00:00:00+00:00,OLS,0.0064084316662447955,-0.29608333889800786,0.9954168414189931,0.7181978401302425,43
2024-04-22 00:00:00+00:00,OLS,-0.00589244106250062,-0.20520445934628112,0.9577640471374737,0.5878242981331064,43
2024-04-23 00:00:00+00:00,OLS,0.006408431666244744,-0.2794752776938608,0.9880819537441647,0.7677115193324785,43
2024-04-24 00:00:00+00:00,OLS,0.006200693335396215,-0.025324177763468694,1.0073205915891719,0.6862780012513497,44
