model,headline,mean_rank_ic,ic_std,ic_ir,hac_t_stat,hac_p_value,positive_ic_rate,hit_rate,permutation_null_mean_ic,n_ic_dates,oos_start,oos_end
PLS,False,0.09383462369394706,0.241252315210505,0.3889480754291272,18.38451400717233,1.747991140470144e-75,0.6573464912280702,0.5187736945269311,,1824,2021-07-30,2026-07-27
LASSO,False,0.09191093877608028,0.23611725964542243,0.3892597216912607,18.32214582485017,5.509695449183584e-75,0.6726973684210527,0.5170131104825174,,1824,2021-07-30,2026-07-27
Elastic Net,False,0.09179513281443769,0.23583199022364243,0.3892395290706202,18.33161746791129,4.629319511451502e-75,0.6716008771929824,0.5169192126668153,,1824,2021-07-30,2026-07-27
OLS,True,0.09162125239337864,0.23543711171502343,0.38915382424618916,18.318088075469877,5.936192789115293e-75,0.6694078947368421,0.5171070082982194,0.003653218010249254,1824,2021-07-30,2026-07-27
Random Forest,True,0.09095521962999573,0.23659043918757547,0.38444165344265624,17.711197609795665,3.4368137869542085e-70,0.6573464912280702,0.503996525780819,0.0004101643112882714,1824,2021-07-30,2026-07-27
COMB,True,0.08733155331610143,0.2396600824034758,0.36439757693596975,16.588454072222227,8.446664718102115e-62,0.6502192982456141,0.5148886724022582,0.0005478016068616599,1824,2021-07-30,2026-07-27
LightGBM,False,0.08539918129036667,0.2278170404212116,0.37485861958557565,16.843721864773837,1.1666241047306309e-63,0.6452850877192983,0.5042077958661486,,1824,2021-07-30,2026-07-27
FFNN,False,0.027607247653294323,0.1878822550274074,0.14693909038544967,5.709391843153631,1.1338058134044184e-08,0.5646929824561403,0.504970715618728,,1824,2021-07-30,2026-07-27
