model,cost_bps_one_way,avg_daily_turnover_half_l1,avg_daily_traded_notional,annualized_traded_notional,total_transaction_cost,avg_daily_transaction_cost,avg_gross_exposure,avg_net_exposure,avg_long_contribution,avg_short_contribution,return_basis,n_days,mean_daily_ret,ann_return,ann_vol,sharpe,max_drawdown,cum_return,win_rate,drawdown_duration_days
OLS,10.0,0.7330124957784534,1.4660249915569068,535.099121918271,0.9646444444444446,0.0014660249915569067,2.0,4.505008321807246e-17,-0.0003065650507620905,0.0034180224611665565,gross,658,0.0031114574104044663,1.6913255155583315,0.5358806676043741,2.1192814435247973,-0.3051031379373611,4.958229144856222,0.5759878419452887,99
OLS,10.0,0.7330124957784534,1.4660249915569068,535.099121918271,0.9646444444444446,0.0014660249915569067,2.0,4.505008321807246e-17,-0.0003065650507620905,0.0034180224611665565,net,658,0.0016454324188475598,0.5772105280386992,0.536115175793725,1.1202496403691409,-0.32669570934985326,1.2737544641447838,0.5501519756838906,122
PLS,10.0,0.7196724079702803,1.4393448159405606,525.3608578183047,0.9470888888888891,0.001439344815940561,2.0,4.505008321807246e-17,-0.00027180539623201494,0.0033333666183192777,gross,658,0.003061561222087263,1.5723123118628677,0.5798033481390832,1.927325617639918,-0.4220361013273638,4.491700296029849,0.5790273556231003,113
PLS,10.0,0.7196724079702803,1.4393448159405606,525.3608578183047,0.9470888888888891,0.001439344815940561,2.0,4.505008321807246e-17,-0.00027180539623201494,0.0033333666183192777,net,658,0.0016222164061467017,0.5219697192200574,0.5800934127504987,1.020713173480243,-0.4365674414649544,1.1322128871195023,0.5653495440729484,291
LASSO,10.0,0.7312436676798381,1.4624873353596761,533.8078774062818,0.9623166666666667,0.001462487335359676,2.0,4.505008321807246e-17,-0.00033487416496721337,0.0033768273567694974,gross,658,0.003041953191802284,1.6210600612535115,0.5379867359669058,2.0638295347789657,-0.34061417023908847,4.680741972032749,0.5790273556231003,75
LASSO,10.0,0.7312436676798381,1.4624873353596761,533.8078774062818,0.9623166666666667,0.001462487335359676,2.0,4.505008321807246e-17,-0.00033487416496721337,0.0033768273567694974,net,658,0.0015794658564426084,0.5379709328978046,0.5382098326841498,1.0711529269660813,-0.36277967898595276,1.1727953151836528,0.5531914893617021,144
Elastic Net,10.0,0.7319064505234719,1.4638129010469438,534.2917088821345,0.9631888888888891,0.001463812901046944,2.0,4.505008321807246e-17,-0.00031692037903166065,0.0034294205078909718,gross,658,0.0031125001288593115,1.688309936827895,0.5386678839136593,2.109022239788372,-0.310661994193808,4.94619932009643,0.5775075987841946,73
Elastic Net,10.0,0.7319064505234719,1.4638129010469438,534.2917088821345,0.9631888888888891,0.001463812901046944,2.0,4.505008321807246e-17,-0.00031692037903166065,0.0034294205078909718,net,658,0.0016486872278123673,0.5767018095414973,0.538915078796408,1.1166338850556672,-0.3339852840664469,1.272432534848721,0.5516717325227963,115
Random Forest,10.0,0.6935368118878759,1.3870736237757517,506.2818726781494,0.9126944444444447,0.001387073623775752,2.0,4.505008321807246e-17,-0.0003771329014626251,0.0026020066611338083,gross,658,0.0022248737596711836,0.9226660784046372,0.5596095782411612,1.451152649731846,-0.3723213603887874,2.2494119568687205,0.5714285714285714,132
Random Forest,10.0,0.6935368118878759,1.3870736237757517,506.2818726781494,0.9126944444444447,0.001387073623775752,2.0,4.505008321807246e-17,-0.0003771329014626251,0.0026020066611338083,net,658,0.0008378001358954318,0.15901769586691938,0.5599970402921476,0.5460690460833505,-0.43409628906451847,0.3047812569894708,0.5501519756838906,308
LightGBM,10.0,0.7981171901384669,1.5962343802769339,582.6255488010809,1.0503222222222224,0.0015962343802769336,2.0,4.505008321807246e-17,-1.3808023844665678e-05,0.0024728789857271943,gross,658,0.002459070961882529,1.0794518040479577,0.5705920237697641,1.573034433880015,-0.3930660703573109,2.7426484818309773,0.5653495440729484,242
LightGBM,10.0,0.7981171901384669,1.5962343802769339,582.6255488010809,1.0503222222222224,0.0015962343802769336,2.0,4.505008321807246e-17,-1.3808023844665678e-05,0.0024728789857271943,net,658,0.0008628365816055956,0.16114917935416506,0.571517822751442,0.5510507979783692,-0.5501197184272812,0.3091102118365303,0.5440729483282675,362
FFNN,10.0,0.9259498480243162,1.8518996960486325,675.9433890577509,1.2185500000000002,0.0018518996960486325,2.0,4.505008321807246e-17,-0.0011414113462287225,0.002450645310686928,gross,658,0.0013092339644582057,0.4286285557567684,0.4894632904176353,0.9763150912083751,-0.4315999457281975,0.9023009486699047,0.5516717325227963,106
FFNN,10.0,0.9259498480243162,1.8518996960486325,675.9433890577509,1.2185500000000002,0.0018518996960486325,2.0,4.505008321807246e-17,-0.0011414113462287225,0.002450645310686928,net,658,-0.000542665731590427,-0.2736502069151038,0.4901217679781946,-0.40413016717779826,-0.5476571349406492,-0.4380702201324611,0.5212765957446809,259
COMB,10.0,0.7758654170888214,1.5517308341776428,566.3817544748396,1.021038888888889,0.0015517308341776428,2.0,4.505008321807246e-17,-0.000267618641375775,0.003062109302288609,gross,658,0.0027944906609128346,1.3824019886218348,0.5456438330073764,1.8693312918271279,-0.415704155795958,3.782555242381803,0.5987841945288754,83
COMB,10.0,0.7758654170888214,1.5517308341776428,566.3817544748396,1.021038888888889,0.0015517308341776428,2.0,4.505008321807246e-17,-0.000267618641375775,0.003062109302288609,net,658,0.0012427598267351918,0.35303199039026967,0.5457557496770626,0.8311544807851421,-0.45301792176275535,0.7247027865385871,0.5775075987841946,157
